[PC: C000] OPCODE 4C | A:00 X:00 Y:00 P:24 SP:FD | JMP $C5F5
[PC: C5F5] OPCODE A2 | A:00 X:00 Y:00 P:24 SP:FD | LDX #$00
[PC: C5F7] OPCODE 86 | A:00 X:00 Y:00 P:26 SP:FD | STX $00
[PC: C5F9] OPCODE 86 | A:00 X:00 Y:00 P:26 SP:FD | STX $10
[PC: C5FB] OPCODE 86 | A:00 X:00 Y:00 P:26 SP:FD | STX $11
[PC: C5FD] OPCODE 20 | A:00 X:00 Y:00 P:26 SP:FD | JSR $C72D
[PC: C72D] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C72E] OPCODE 38 | A:00 X:00 Y:00 P:26 SP:FB | SEC
[PC: C72F] OPCODE B0 | A:00 X:00 Y:00 P:27 SP:FB | BCS #$04
[PC: C735] OPCODE EA | A:00 X:00 Y:00 P:27 SP:FB | NOP
[PC: C736] OPCODE 18 | A:00 X:00 Y:00 P:27 SP:FB | CLC
[PC: C737] OPCODE B0 | A:00 X:00 Y:00 P:26 SP:FB | BCS #$03
[PC: C739] OPCODE 4C | A:00 X:00 Y:00 P:26 SP:FB | JMP $C740
[PC: C740] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C741] OPCODE 38 | A:00 X:00 Y:00 P:26 SP:FB | SEC
[PC: C742] OPCODE 90 | A:00 X:00 Y:00 P:27 SP:FB | BCC #$03
[PC: C744] OPCODE 4C | A:00 X:00 Y:00 P:27 SP:FB | JMP $C74B
[PC: C74B] OPCODE EA | A:00 X:00 Y:00 P:27 SP:FB | NOP
[PC: C74C] OPCODE 18 | A:00 X:00 Y:00 P:27 SP:FB | CLC
[PC: C74D] OPCODE 90 | A:00 X:00 Y:00 P:26 SP:FB | BCC #$04
[PC: C753] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C754] OPCODE A9 | A:00 X:00 Y:00 P:26 SP:FB | LDA #$00
[PC: C756] OPCODE F0 | A:00 X:00 Y:00 P:26 SP:FB | BEQ #$04
[PC: C75C] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C75D] OPCODE A9 | A:00 X:00 Y:00 P:26 SP:FB | LDA #$40
[PC: C75F] OPCODE F0 | A:40 X:00 Y:00 P:24 SP:FB | BEQ #$03
[PC: C761] OPCODE 4C | A:40 X:00 Y:00 P:24 SP:FB | JMP $C768
[PC: C768] OPCODE EA | A:40 X:00 Y:00 P:24 SP:FB | NOP
[PC: C769] OPCODE A9 | A:40 X:00 Y:00 P:24 SP:FB | LDA #$40
[PC: C76B] OPCODE D0 | A:40 X:00 Y:00 P:24 SP:FB | BNE #$04
[PC: C771] OPCODE EA | A:40 X:00 Y:00 P:24 SP:FB | NOP
[PC: C772] OPCODE A9 | A:40 X:00 Y:00 P:24 SP:FB | LDA #$00
[PC: C774] OPCODE D0 | A:00 X:00 Y:00 P:26 SP:FB | BNE #$03
[PC: C776] OPCODE 4C | A:00 X:00 Y:00 P:26 SP:FB | JMP $C77D
[PC: C77D] OPCODE EA | A:00 X:00 Y:00 P:26 SP:FB | NOP
[PC: C77E] OPCODE A9 | A:00 X:00 Y:00 P:26 SP:FB | LDA #$FF
[PC: C780] OPCODE 85 | A:FF X:00 Y:00 P:A4 SP:FB | STA $01
[PC: C782] OPCODE 24 | A:FF X:00 Y:00 P:A4 SP:FB | BIT $01
[PC: C784] OPCODE 70 | A:FF X:00 Y:00 P:E4 SP:FB | BVS #$04
[PC: C78A] OPCODE EA | A:FF X:00 Y:00 P:E4 SP:FB | NOP
